,Exercise ,Difficulty Level,Target Muscle Group ,Primary Equipment ,Posture,Single or Double Arm,Continuous or Alternating Arms ,Grip,Combination Exercises,Mechanics
,Double Kettlebell Dead Snatch,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Decline Bench Press,Novice,Chest,Barbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Assisted Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Bodyweight,Single Leg Supported,Single Arm,Continuous,Hand Assisted,Single Exercise,Compound
,Bodyweight Bulgarian Split Squat,Novice,Quadriceps,Bodyweight,Single Leg Supported,No Arms,Continuous,No Grip,Single Exercise,Compound
,Stability Ball Otis Up,Novice,Abdominals,Stability Ball,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Plate Otis Up,Novice,Abdominals,Weight Plate,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Otis Up,Novice,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Otis Up,Novice,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Horn Grip Otis Up,Novice,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Horn Grip,Single Exercise,Compound
,Double Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Otis Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Turkish Sit Up,Intermediate,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Seated Floor,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Single Arm Kettlebell Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Seated Floor,Single Arm,Continuous,Pronated,Combo Exercise,Compound
,Single Arm Kettlebell Bottoms Up Turkish Sit Up to Z Press,Intermediate,Abdominals,Kettlebell,Seated Floor,Single Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Dumbbell Decline Bench Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Flat Bench Chest Fly,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Dumbbell Decline Bench Chest Fly,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Neutral,Single Exercise,Isolation
,Double Kettlebell Alternating Rotational Overhead Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Combo Exercise,Compound
,Single Arm Kettlebell Rotational Thruster,Novice,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Clean to Rotational Thruster,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Neutral,Combo Exercise,Compound
,Double Kettlebell Overhead Alternating Cossack Squat,Intermediate,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Alternating Single Arm Kettlebell Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Neutral,Combo Exercise,Compound
,Alternating Single Arm Kettlebell Bottoms Up Clean to Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Single Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Dead Clean,Intermediate,Glutes,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Dead Clean to Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Dead Clean to Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Dead Clean to Alternating Rotational Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Bottoms Up,Combo Exercise,Compound
,Double Kettlebell Dead Clean to Alternating Rotational Overhead Press,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Combo Exercise,Compound
,Double Kettlebell Dead Clean to Alternating Rotational Thruster,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Neutral,Combo Exercise,Compound
,Single Ring Chin Up,Advanced,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Double Kettlebell Windmill,Advanced,Abdominals,Kettlebell,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Single Leg Standing Bent Knee Contralateral Low Row,Advanced,Back,Suspension Trainer,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Suspension Single Leg Standing Bent Knee Ipsilateral Low Row,Advanced,Back,Suspension Trainer,Single Leg Standing Bent Knee,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Suspension Single Leg Standing Bent Knee Bicep Curl,Intermediate,Biceps,Suspension Trainer,Single Leg Standing Bent Knee,Double Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Suspension Single Leg Bent Knee Contralateral Bicep Curl,Advanced,Biceps,Suspension Trainer,Single Leg Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Suspension Single Leg Bent Knee Ipsilateral Bicep Curl,Advanced,Biceps,Suspension Trainer,Single Leg Standing,Single Arm,Continuous,Supinated,Single Exercise,Isolation
,Single Arm Plate Teacup,Intermediate,Shoulders,Weight Plate,Standing,Single Arm,Continuous,Supinated,Single Exercise,Compound
,Ring L Sit Chin Up,Advanced,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Single Ring L Sit Chin Up,Advanced,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Barbell Front Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Back Rack Bulgarian Split Squat,Intermediate,Quadriceps,Barbell,Single Leg Supported,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Suspension Contralateral Pistol Squat,Advanced,Quadriceps,Suspension Trainer,Single Leg Standing,Single Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Front Rack Alternating Curtsy Lunge,Intermediate,Quadriceps,Barbell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Dragon Flag,Advanced,Abdominals,Bodyweight,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Dragon Flag,Expert,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Iron Cross,Master,Back,Gymnastic Rings,Hanging,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Parallette Tuck Planche Push Up,Expert,Chest,Parallette Bars,,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Full Planche,Expert,Abdominals,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Full Planche Push Up,Master,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Inverted Iron Cross,Grand Master,Back,Gymnastic Rings,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Maltese Push Up,Advanced,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Tuck Planche,Advanced,Abdominals,Gymnastic Rings,,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Tuck Planche Push Up,Expert,Chest,Gymnastic Rings,,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Full Planche,Master,Abdominals,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Full Planche Push Up,Grand Master,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Grip Full Planche Push Up,Legendary,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Grip Full Planche,Grand Master,Abdominals,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Bodyweight Full Planche,Expert,Abdominals,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Cable Quadruped Hip Abduction,Novice,Abductors,Cable,Quadruped,No Arms,Continuous,Flat Palm,Single Exercise,Isolation
,Double Kettlebell Alternating Push Press,Novice,Shoulders,Kettlebell,Standing,Double Arm,Alternating,Pronated,Single Exercise,Compound
,Double Kettlebell Front Rack 90/90 Hip Shift to Alternating Overhead Press,Advanced,Shoulders,Kettlebell,90/90 Seated,Double Arm,Alternating,Pronated,Combo Exercise,Compound
,Parallette L Sit to Tuck Planche Push Up,Expert,Chest,Parallette Bars,,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Ring L Sit to Tuck Planche Push Up,Expert,Chest,Gymnastic Rings,,Double Arm,Continuous,Neutral,Combo Exercise,Compound
,Parallette Straddle Planche,Expert,Abdominals,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Straddle Planche Push Up,Master,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Straddle Planche,Master,Abdominals,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Straddle Planche Push Up,Grand Master,Chest,Gymnastic Rings,Prone,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Barbell Turkish Sit Up,Intermediate,Abdominals,Barbell,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Plate Turkish Sit Up,Intermediate,Abdominals,Weight Plate,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Barbell Seated Overhead Press,Novice,Shoulders,Barbell,Seated,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Turkish Sit Up,Advanced,Abdominals,Barbell,Supine,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Crush Grip Romanian Deadlift,Beginner,Hamstrings,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Ring Pelican Curl,Advanced,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Kettlebell Dead Bug,Novice,Abdominals,Kettlebell,Supine,Double Arm,Continuous,Goblet,Single Exercise,Compound
,Single Arm Kettlebell Bottoms Up Copenhagen Plank,Intermediate,Adductors,Kettlebell,Side Plank,Single Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Ring Chin Up,Intermediate,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Ring Two Finger Chin Up,Advanced,Biceps,Gymnastic Rings,Hanging,Double Arm,Continuous,Supinated,Single Exercise,Compound
,Dumbbell Crush Grip Bent Over Row,Beginner,Back,Dumbbell,Bent Over Standing,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Dumbbell Crush Grip Bicep Curl to Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Combo Exercise,Compound
,Dumbbell Crush Grip Overhead Press,Beginner,Shoulders,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Dumbbell Crush Grip Hollow Body Hold Flutter Kicks,Intermediate,Abdominals,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Dumbbell Crush Grip Floor Chest Press,Beginner,Chest,Dumbbell,Supine,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Parallette Crow Pose,Intermediate,Abdominals,Parallette Bars,Inverted,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Dumbbell Crush Grip Z Press,Novice,Shoulders,Dumbbell,Seated Floor,Double Arm,Continuous,Crush Grip,Single Exercise,Compound
,Kettlebell Dead Clean to Horn Grip Goblet Squat,Novice,Quadriceps,Kettlebell,Standing,Double Arm,Continuous,Horn Grip,Combo Exercise,Compound
,Dumbbell Crush Grip Standing Overhead Tricep Extension,Beginner,Triceps,Dumbbell,Standing,Double Arm,Continuous,Crush Grip,Single Exercise,Isolation
,Double Kettlebell Bottoms Up Front Rack Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Walking Lunge,Intermediate,Quadriceps,Kettlebell,Walking,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Barbell Front Rack Alternating Cossack Squat Hold to Overhead Press,Advanced,Shoulders,Barbell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack March,Intermediate,Abdominals,Kettlebell,March,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead March,Intermediate,Abdominals,Kettlebell,March,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Alternating Contralateral Overhead Press March,Advanced,Shoulders,Kettlebell,March,Double Arm,Alternating,Bottoms Up,Single Exercise,Compound
,Barbell Half Kneeling Overhead Press,Novice,Shoulders,Barbell,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Tall Kneeling Overhead Press,Novice,Shoulders,Barbell,Tall Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Kettlebell Tactical Clean,Advanced,Glutes,Kettlebell,Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Barbell Overhead March,Intermediate,Abdominals,Barbell,March,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Single Arm Barbell Overhead March,Advanced,Abdominals,Barbell,March,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Adductor Slide,Advanced,Adductors,Sliders,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Adductor Slide,Intermediate,Adductors,Sliders,Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Front Rack Adductor Slide,Novice,Adductors,Sliders,Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Adductor Slide,Beginner,Adductors,Sliders,Standing,No Arms,Continuous,No Grip,Single Exercise,Compound
,Parallette Plyometric Push Up,Intermediate,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Parallette Plyometric Clapping Push Up,Advanced,Chest,Parallette Bars,Prone,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Alternating Single Arm Kettlebell Ballistic Row,Intermediate,Back,Kettlebell,Bent Over Standing,Single Arm,Alternating,Neutral,Single Exercise,Compound
,Double Kettlebell Front Rack Pivot Split Squat,Intermediate,Quadriceps,Kettlebell,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Bottoms Up Front Rack Pivot Split Squat,Advanced,Quadriceps,Kettlebell,Split Stance Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Double Kettlebell Bottoms Up Overhead Pivot Split Squat,Advanced,Quadriceps,Kettlebell,Split Stance Standing,Double Arm,Continuous,Bottoms Up,Single Exercise,Compound
,Dumbbell Front Rack Pivot Split Squat,Intermediate,Quadriceps,Dumbbell,Split Stance Standing,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Bodyweight Row Feet Elevated,Intermediate,Back,Bodyweight,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Bodyweight Row,Novice,Back,Bodyweight,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Ring Row,Novice,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Ring Bulgarian Row,Novice,Back,Gymnastic Rings,Supine,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Kettlebell Half Kneeling Rotational Swing,Intermediate,Abdominals,Kettlebell,Half Kneeling,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Push Jerk,Novice,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Double Kettlebell Clean to Push Jerk,Intermediate,Shoulders,Kettlebell,Standing,Double Arm,Continuous,Pronated,Combo Exercise,Compound
,Slider Barbell Overhead Reverse Lunge,Intermediate,Quadriceps,Sliders,Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Slider Single Arm Barbell Overhead Reverse Lunge,Advanced,Quadriceps,Sliders,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Pseudo Planche Push Up,Advanced,Chest,Bodyweight,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Parallette Pseudo Planche Push Up,Expert,Chest,Parallette Bars,Prone,Double Arm,Continuous,Flat Palm,Single Exercise,Compound
,Kettlebell Half Knee Hover Low to High Chop,Advanced,Abdominals,Kettlebell,Half Knee Hover,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Kettlebell Half Knee Hover Alternating Halo,Advanced,Shoulders,Kettlebell,Half Knee Hover,Double Arm,Continuous,Bottoms Up Horn Grip,Single Exercise,Compound
,Double Kettlebell Front Rack March,Novice,Abdominals,Kettlebell,March,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Double Kettlebell Suitcase March,Novice,Abdominals,Kettlebell,March,Double Arm,Continuous,Neutral,Single Exercise,Compound
,Single Arm Kettlebell Rotational Snatch,Advanced,Shoulders,Kettlebell,Standing,Single Arm,Continuous,Pronated,Single Exercise,Compound
,Dumbbell Staggered Stance Romanian Deadlift,Novice,Hamstrings,Dumbbell,Staggered Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
,Barbell Staggered Stance Romanian Deadlift,Intermediate,Hamstrings,Barbell,Staggered Stance Standing,Double Arm,Continuous,Pronated,Single Exercise,Compound
